link;Артикул;Тип;Цоколь;Мощность;Цветовая температура;Серия;Количество в упаковке;Гарантия;Тип лампы;Световой поток Лм;Индекс цветопередачи;Рабочее напряжение;Размеры;Время работы, ч;Аналог лампы накаливания;Аналог галогеновой лампы;Аналог КЛЛ;Угол светового пучка;Форма;
http://gauss.ru/product/blok-pitaniya-dlya-svetodiodnoj-lenty-pylevlagozashhishhennyj-12v-ip66-5/;202023030;блок питания IP66;;30 Вт;;Gauss;;1 год;;;;220-240V;200х30х20;;;;;;;
http://gauss.ru/product/blok-pitaniya-dlya-svetodiodnoj-lenty-pylevlagozashhishhennyj-12v-ip66-6/;202023040;блок питания IP66;;40 Вт;;Gauss;;1 год;;;;220-240V;200х30х20;;;;;;;
http://gauss.ru/product/blok-pitaniya-dlya-svetodiodnoj-lenty-pylevlagozashhishhennyj-12v-ip66-7/;202023060;блок питания IP66;;60 Вт;;Gauss;;1 год;;;;220-240V;175х72х45;;;;;;;
http://gauss.ru/product/konnektor-dlya-svetodiodnoj-lenty-5050-1-500/;PC205200000;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/konnektor-dlya-svetodiodnoj-lenty-rgb-1-500/;PC209200000;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/konnektor-dlya-svetodiodnoj-lenty-2835-60smd-5-sht-v-upak/;204200000;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/konnektor-dlya-svetodiodnoj-lenty-5050-i-2835-120smd-5-2-000/;205200000;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/konnektor-dlya-svetodiodnoj-lenty-s-vozmozhnostyu-izgiba-2835-60smd-3-sht-v-upak/;241200000;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/konnektor-dlya-svetodiodnoj-lenty-s-vozmozhnostyu-izgiba-5050-i-2835-120smd-3-sht-v-upak/;251200000;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/kontroller-dlya-rgb-288w-24a-s-sensornym-pultom-upravleniya-tsvetom-belyj/;201013288;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/lenta-led-2835-120-smd-9-6w-12v-dc-teplyj-belyj-blister-5m/;312000110;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/lenta-led-2835-120-smd-9-6w-12v-dc-teplyj-belyj-ip66-blister-5m/;311000110;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/lenta-led-2835-120-smd-9-6w-12v-dc-holodnyj-belyj-blister-5m/;312000310;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/lenta-led-2835-120-smd-9-6w-12v-dc-holodnyj-belyj-ip66-blister-5m/;311000310;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/lenta-led-2835-60-smd-4-8w-12v-dc-teplyj-belyj-blister-5m/;312000105;;;;;Gauss;;;;;;;;;;;;;;
http://gauss.ru/product/lenta-led-2835-60-smd-4-8w-12v-dc-teplyj-belyj-ip66-blister-5m/;311000105;;;;;Gauss;;;;;;;;;;;;;;
